Portuguese;English
"Estou com fome.";"I'm hungry."
"O que tem para o jantar?";"What's for dinner?"
"A conta, por favor.";"The check, please."
"Essa comida está uma delícia.";"This food is delicious."
"Você aceita um café?";"Would you like some coffee?"
"Pode me passar o sal, por favor?";"Can you pass me the salt, please?"
"Eu sou vegetariano.";"I am a vegetarian."
"Vamos almoçar juntos amanhã?";"Shall we have lunch together tomorrow?"
"Qual é o prato do dia?";"What is the dish of the day?"
"Tô morrendo de sede.";"I'm dying of thirst."
"Eu adoro comida brasileira.";"I love Brazilian food."
"Tem mesa para duas pessoas?";"Do you have a table for two?"
"Vou querer uma água com gás.";"I'll have a sparkling water."
"Você gosta de comida apimentada?";"Do you like spicy food?"
"O que você vai querer beber?";"What are you going to want to drink?"
"Bom apetite!";"Enjoy your meal!"
"Eu já comi, obrigado.";"I've already eaten, thank you."
"Preciso ir ao supermercado.";"I need to go to the supermarket."
"A comida está muito salgada.";"The food is too salty."
"Quer mais um pouco?";"Do you want a little more?"
"Não, obrigado, estou satisfeito.";"No, thank you, I'm full."
"Vamos pedir uma pizza hoje?";"Shall we order a pizza today?"
"Eu tenho alergia a camarão.";"I'm allergic to shrimp."
"O garçom já vem.";"The waiter is coming."
"O que você me recomenda?";"What do you recommend?"
"Já tomou café da manhã?";"Have you had breakfast yet?"
"Isso aqui tá muito bom!";"This is really good!"
"A janta está quase pronta.";"Dinner is almost ready."
"Eu prefiro suco natural.";"I prefer natural juice."
"Quem vai lavar a louça?";"Who is going to do the dishes?"
"Esse bolo parece gostoso.";"This cake looks tasty."
"Cuidado, o prato está quente.";"Be careful, the plate is hot."
"Podemos ver o cardápio?";"Can we see the menu?"
"Vou querer o bife bem passado.";"I'll have the steak well-done."
"Essa sopa está fria.";"This soup is cold."
"A gente sempre come feijão com arroz.";"We always eat rice and beans."
"Você sabe fazer brigadeiro?";"Do you know how to make brigadeiro?"
"Falta comprar pão e leite.";"We still need to buy bread and milk."
"Tem alguma opção sem glúten?";"Is there a gluten-free option?"
"Vamos dividir a sobremesa?";"Shall we share the dessert?"
"O peixe está fresco?";"Is the fish fresh?"
"Eu como de tudo.";"I eat everything."
"Gostaria de fazer um pedido.";"I would like to place an order."
"O meu suco é de laranja.";"My juice is orange juice."
"Coloca a mesa, por favor.";"Set the table, please."
"Eu estou de dieta.";"I'm on a diet."
"Aquele restaurante é muito caro.";"That restaurant is very expensive."
"O que vamos comer de sobremesa?";"What are we having for dessert?"
"Você pode trazer mais guardanapos?";"Can you bring more napkins?"
"A feijoada de sábado é tradição.";"Saturday's feijoada is a tradition."
"Eu gostaria de fazer uma reserva.";"I would like to make a reservation."
"Quanto custa a passagem de avião?";"How much is the plane ticket?"
"O voo está no horário?";"Is the flight on time?"
"Onde eu posso pegar minha bagagem?";"Where can I get my luggage?"
"Você pode chamar um táxi pra mim, por favor?";"Can you call a taxi for me, please?"
"Tenho uma reserva em nome de...";"I have a reservation under the name of..."
"A que horas é o check-out?";"What time is check-out?"
"O café da manhã está incluído?";"Is breakfast included?"
"Com licença, onde fica a estação de metrô mais próxima?";"Excuse me, where is the nearest subway station?"
"Como eu chego no centro da cidade?";"How do I get to the city center?"
"Você pode me mostrar no mapa?";"Can you show me on the map?"
"Fica longe daqui?";"Is it far from here?"
"Que horas abre o museu?";"What time does the museum open?"
"Eu queria comprar dois ingressos, por favor.";"I'd like to buy two tickets, please."
"Qual é o ponto turístico mais famoso daqui?";"What is the most famous tourist spot here?"
"Podemos tirar uma foto aqui?";"Can we take a picture here?"
"O cardápio, por favor.";"The menu, please."
"O que você me recomenda?";"What do you recommend?"
"A conta, por favor.";"The bill, please."
"Posso pagar com cartão de crédito?";"Can I pay with a credit card?"
"Quanto custa isso?";"How much does this cost?"
"Estou só olhando, obrigado.";"I'm just looking, thank you."
"Você pode me ajudar, por favor?";"Can you help me, please?"
"Eu não falo português muito bem.";"I don't speak Portuguese very well."
"Você fala inglês?";"Do you speak English?"
"Onde tem um caixa eletrônico?";"Where is an ATM?"
"Qual é a senha do Wi-Fi?";"What is the Wi-Fi password?"
"Eu preciso ir pro aeroporto.";"I need to go to the airport."
"Este ônibus vai pra praia?";"Does this bus go to the beach?"
"Perdi meu passaporte.";"I lost my passport."
"Preciso de um médico.";"I need a doctor."
"É seguro andar por aqui à noite?";"Is it safe to walk around here at night?"
"Eu gostaria de alugar um carro.";"I would like to rent a car."
"A viagem foi ótima!";"The trip was great!"
"Adorei conhecer o Brasil.";"I loved visiting Brazil."
"Onde eu posso comprar um chip de celular?";"Where can I buy a SIM card?"
"Tem algum restaurante bom por aqui?";"Are there any good restaurants around here?"
"Vou querer um suco de laranja, por favor.";"I'll have an orange juice, please."
"A gorjeta está incluída no serviço?";"Is the tip included in the service?"
"Meu portão de embarque é o 15.";"My boarding gate is 15."
"Eu preciso despachar uma mala.";"I need to check one bag."
"Esta é minha bagagem de mão.";"This is my carry-on luggage."
"Você pode me dar um desconto?";"Can you give me a discount?"
"Vocês aceitam dinheiro?";"Do you guys take cash?"
"Com licença, tem um banheiro por aqui?";"Excuse me, is there a bathroom around here?"
"Estou procurando um presente pra minha família.";"I'm looking for a gift for my family."
"Que lugar bonito!";"What a beautiful place!"
"O tempo está maravilhoso hoje.";"The weather is wonderful today."
"Você tem um mapa da cidade?";"Do you have a city map?"
"Nós vamos ficar por uma semana.";"We are going to stay for a week."
"Minha mãe se chama Ana.";"My mother's name is Ana."
"Você tem irmãos?";"Do you have siblings?"
"Meu melhor amigo mora perto da minha casa.";"My best friend lives near my house."
"Vamos fazer um churrasco no domingo?";"Are we going to have a barbecue on Sunday?"
"Como estão seus pais?";"How are your parents?"
"Eu tenho uma irmã mais nova e um irmão mais velho.";"I have a younger sister and an older brother."
"A gente se conhece desde a escola.";"We've known each other since school."
"Manda um abraço para sua família.";"Send a hug to your family."
"Meus avós vêm nos visitar no próximo mês.";"My grandparents are coming to visit us next month."
